instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time
soybean-small,4,0.0,53,1.0,0.8333333333333334,1.0,1.8171656131744385
soybean-small,4,0.01,53,0.391304347826087,0.5,0.4166666666666667,6.373689413070679
soybean-small,4,0.1,53,1.0,1.0,1.0,7.7322916984558105
house-votes-84,4,0.0,53,1.0,0.9655172413793104,0.9482758620689655,42.60162329673767
house-votes-84,4,0.01,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,504.5009868144989
house-votes-84,4,0.1,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,4.767224311828613
hayes-roth,4,0.0,53,0.8625,0.8,0.775,600.73122382164
hayes-roth,4,0.01,53,0.9125,0.7,0.575,600.8221254348755
hayes-roth,4,0.1,53,0.75,0.625,0.675,600.7555558681488
car-evaluation,4,0.0,53,0.8229166666666666,0.8032407407407407,0.8009259259259259,608.2303628921509
car-evaluation,4,0.01,53,0.7106481481481481,0.6967592592592593,0.6828703703703703,605.6685297489166
car-evaluation,4,0.1,53,0.7106481481481481,0.6967592592592593,0.6828703703703703,605.9015309810638
breast-cancer,4,0.0,53,0.8695652173913043,0.7246376811594203,0.6857142857142857,601.0875675678253
breast-cancer,4,0.01,53,0.8188405797101449,0.7101449275362319,0.6857142857142857,601.0877046585083
breast-cancer,4,0.1,53,0.7391304347826086,0.7536231884057971,0.6,601.2558829784393
balance-scale,4,0.0,53,0.75,0.7307692307692307,0.7197452229299363,602.2293918132782
balance-scale,4,0.01,53,0.7339743589743589,0.6987179487179487,0.7515923566878981,601.955596446991
balance-scale,4,0.1,53,0.6538461538461539,0.6282051282051282,0.6942675159235668,603.1576626300812
monks-3,5,0.0,53,0.9927797833935018,0.9782608695652174,0.9928057553956835,604.7547454833984
monks-3,5,0.01,53,0.9927797833935018,0.9782608695652174,0.9928057553956835,605.260237455368
monks-3,5,0.1,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,225.72466683387756
monks-2,5,0.0,53,0.7033333333333334,0.5933333333333334,0.5695364238410596,606.1783363819122
monks-2,5,0.01,53,0.6466666666666666,0.72,0.6158940397350994,605.133786201477
monks-2,5,0.1,53,0.6466666666666666,0.72,0.6158940397350994,605.8569731712341
monks-1,5,0.0,53,0.8453237410071942,0.7769784172661871,0.7553956834532374,605.8589897155762
monks-1,5,0.01,53,0.8848920863309353,0.7482014388489209,0.7266187050359713,605.3898108005524
monks-1,5,0.1,53,0.7769784172661871,0.7338129496402878,0.697841726618705,604.9360778331757
tic-tac-toe,5,0.0,53,0.6659707724425887,0.6359832635983264,0.6458333333333334,612.2701358795166
tic-tac-toe,5,0.01,53,0.7139874739039666,0.6778242677824268,0.6791666666666667,611.4092357158661
tic-tac-toe,5,0.1,53,0.6659707724425887,0.6359832635983264,0.6458333333333334,611.5144140720367
spect,5,0.0,53,0.8872180451127819,0.746268656716418,0.746268656716418,603.368771314621
spect,5,0.01,53,0.8120300751879699,0.746268656716418,0.8059701492537313,602.9753057956696
spect,5,0.1,53,0.8120300751879699,0.746268656716418,0.8059701492537313,6.704516887664795
soybean-small,5,0.0,53,1.0,0.6666666666666666,0.75,7.5187087059021
soybean-small,5,0.01,53,0.9130434782608695,0.75,0.9166666666666666,8.018902063369751
soybean-small,5,0.1,53,1.0,0.8333333333333334,0.8333333333333334,11.923028230667114
house-votes-84,5,0.0,53,1.0,0.9137931034482759,0.9655172413793104,64.24692344665527
house-votes-84,5,0.01,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,602.6780569553375
house-votes-84,5,0.1,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,13.088991165161133
hayes-roth,5,0.0,53,0.9375,0.6,0.65,601.8253905773163
hayes-roth,5,0.01,53,0.9,0.875,0.85,601.6706488132477
hayes-roth,5,0.1,53,0.7375,0.725,0.625,601.6457116603851
car-evaluation,5,0.0,53,0.7106481481481481,0.6967592592592593,0.6828703703703703,614.5696501731873
car-evaluation,5,0.01,53,0.7106481481481481,0.6967592592592593,0.6828703703703703,616.5529072284698
car-evaluation,5,0.1,53,0.7106481481481481,0.6967592592592593,0.6828703703703703,614.5216317176819
breast-cancer,5,0.0,53,0.8985507246376812,0.7391304347826086,0.7142857142857143,603.1077351570129
breast-cancer,5,0.01,53,0.8188405797101449,0.7101449275362319,0.6857142857142857,602.6665275096893
breast-cancer,5,0.1,53,0.7391304347826086,0.7536231884057971,0.6,332.50429368019104
balance-scale,5,0.0,53,0.7596153846153846,0.7051282051282052,0.7388535031847133,605.2165682315826
balance-scale,5,0.01,53,0.717948717948718,0.6923076923076923,0.6878980891719745,605.408185005188
balance-scale,5,0.1,53,0.6410256410256411,0.6346153846153846,0.6815286624203821,605.0371379852295
