instance,depth,seed,train_acc,val_acc,test_acc,train_time,gap
monks-1,4,42,0.8525179856115108,0.8705035971223022,0.8273381294964028,601.5815010070801,1.0
monks-1,4,53,1.0,1.0,1.0,10.074071407318115,0.0
monks-1,5,37,1.0,1.0,1.0,11.426413536071777,0.0
monks-1,5,42,1.0,1.0,1.0,14.264965057373047,0.0
monks-1,5,53,1.0,1.0,1.0,10.543958187103271,0.0
monks-2,2,37,0.63,0.6,0.5960264900662252,26.242021799087524,0.0
monks-2,2,42,0.6433333333333333,0.64,0.6291390728476821,28.43013048171997,0.0
monks-2,2,53,0.66,0.6,0.5960264900662252,25.529518365859985,0.0
monks-2,3,37,0.6866666666666666,0.6,0.5629139072847682,601.4213998317719,1.0
monks-2,3,42,0.6933333333333334,0.64,0.5562913907284768,601.4784550666809,1.0
monks-2,3,53,0.6933333333333334,0.6266666666666667,0.6357615894039735,601.5561256408691,0.982484076433121
monks-2,4,37,0.7233333333333334,0.6066666666666667,0.5960264900662252,602.491738319397,1.0
monks-2,4,42,0.74,0.6,0.5496688741721855,602.670923948288,0.9999999999999996
monks-2,4,53,0.7533333333333333,0.5933333333333334,0.5960264900662252,602.2184751033783,1.0
monks-2,5,37,0.77,0.6,0.5629139072847682,606.5714340209961,1.0
monks-2,5,42,0.7933333333333333,0.6066666666666667,0.5695364238410596,606.7011761665344,1.0
monks-2,5,53,0.8033333333333333,0.66,0.6357615894039735,607.4473748207092,1.0
monks-3,2,37,0.9711191335740073,0.9492753623188406,0.9640287769784173,1.1229984760284424,0.0
monks-3,2,42,0.9711191335740073,0.9492753623188406,0.9640287769784173,1.1828384399414062,0.0
monks-3,2,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,1.5708012580871582,0.0
monks-3,3,37,0.9963898916967509,0.9637681159420289,1.0,139.1701533794403,0.0
monks-3,3,42,0.9963898916967509,0.9855072463768116,0.9784172661870504,47.74843883514404,0.0
monks-3,3,53,0.9927797833935018,0.9782608695652174,0.9928057553956835,412.6961364746094,0.0
monks-3,4,37,0.9963898916967509,0.9637681159420289,1.0,602.3403358459473,1.0
monks-3,4,42,0.9963898916967509,0.9855072463768116,0.9784172661870504,601.8910541534424,1.0
monks-3,4,53,0.9927797833935018,0.9637681159420289,0.9856115107913669,602.215008020401,1.0
monks-3,5,37,0.9963898916967509,0.9637681159420289,1.0,605.92489361763,1.0
monks-3,5,42,0.9963898916967509,0.9855072463768116,0.9784172661870504,607.5114023685455,1.0
monks-3,5,53,0.9963898916967509,0.9565217391304348,0.9712230215827338,606.7485764026642,1.0
