instance,method,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
balance-scale,n,3,0,11,0.6987179487179487,0.6089743589743589,0.7197452229299363,3.258301019668579,0.0
balance-scale,rb,3,0,11,0.6858974358974359,,0.6687898089171974,5.7092554569244385,0.0
balance-scale,cp,3,0,11,0.6858974358974359,,0.6687898089171974,11.896625518798828,0.0
balance-scale,n,3,0.01,11,0.6987179487179487,0.6089743589743589,0.7197452229299363,2.699425220489502,0.0
balance-scale,rb,3,0.01,11,0.6816239316239316,,0.6815286624203821,6.110349893569946,0.0
balance-scale,cp,3,0.01,11,0.6816239316239316,,0.6815286624203821,13.969504594802856,0.0
balance-scale,n,3,0.1,11,0.6923076923076923,0.6602564102564102,0.6815286624203821,1.6969056129455566,0.0
balance-scale,rb,3,0.1,11,0.6816239316239316,,0.6815286624203821,3.5352609157562256,0.0
balance-scale,cp,3,0.1,11,0.6816239316239316,,0.6815286624203821,9.134975910186768,0.0
balance-scale,n,3,0,23,0.6698717948717948,0.6666666666666666,0.7197452229299363,3.8936827182769775,0.0
balance-scale,rb,3,0,23,0.6688034188034188,,0.7197452229299363,6.059634685516357,0.0
balance-scale,cp,3,0,23,0.6688034188034188,,0.7197452229299363,13.931582927703857,0.0
balance-scale,n,3,0.01,23,0.6698717948717948,0.6666666666666666,0.7197452229299363,5.523147106170654,0.0
balance-scale,rb,3,0.01,23,0.6688034188034188,,0.7197452229299363,7.536115884780884,0.0
balance-scale,cp,3,0.01,23,0.6688034188034188,,0.7197452229299363,22.596916437149048,0.0
balance-scale,n,3,0.1,23,0.6602564102564102,0.6858974358974359,0.7197452229299363,1.8026094436645508,0.0
balance-scale,rb,3,0.1,23,0.6688034188034188,,0.7197452229299363,3.860952854156494,0.0
balance-scale,cp,3,0.1,23,0.6688034188034188,,0.7197452229299363,9.447052717208862,0.0
balance-scale,n,3,0,34,0.7019230769230769,0.6666666666666666,0.6560509554140127,1.7329926490783691,0.0
balance-scale,rb,3,0,34,0.6923076923076923,,0.6496815286624203,4.985007047653198,0.0
balance-scale,cp,3,0,34,0.6923076923076923,,0.6496815286624203,15.089346170425415,0.0
balance-scale,n,3,0.01,34,0.7019230769230769,0.6666666666666666,0.6560509554140127,3.0977983474731445,0.0
balance-scale,rb,3,0.01,34,0.6901709401709402,,0.6560509554140127,4.407821893692017,0.0
balance-scale,cp,3,0.01,34,0.6901709401709402,,0.6560509554140127,18.254376888275146,0.0
balance-scale,n,3,0.1,34,0.7019230769230769,0.6666666666666666,0.6560509554140127,1.5874459743499756,0.0
balance-scale,rb,3,0.1,34,0.6901709401709402,,0.6560509554140127,3.4690167903900146,0.0
balance-scale,cp,3,0.1,34,0.6901709401709402,,0.6560509554140127,10.145355701446533,0.0
balance-scale,n,3,0,45,0.6826923076923077,0.5961538461538461,0.6751592356687898,1.7990338802337646,0.0
balance-scale,rb,3,0,45,0.6816239316239316,,0.6815286624203821,5.6623687744140625,0.0
balance-scale,cp,3,0,45,0.6816239316239316,,0.6815286624203821,25.69058322906494,0.0
balance-scale,n,3,0.01,45,0.6826923076923077,0.5961538461538461,0.6751592356687898,3.391282796859741,0.0
balance-scale,rb,3,0.01,45,0.6794871794871795,,0.6878980891719745,6.232515573501587,0.0
balance-scale,cp,3,0.01,45,0.6794871794871795,,0.6878980891719745,40.64973258972168,0.0
balance-scale,n,3,0.1,45,0.6698717948717948,0.6987179487179487,0.6878980891719745,1.8940472602844238,0.0
balance-scale,rb,3,0.1,45,0.6794871794871795,,0.6878980891719745,5.059726238250732,0.0
balance-scale,cp,3,0.1,45,0.6794871794871795,,0.6878980891719745,6.717573165893555,0.0
balance-scale,n,3,0,56,0.7307692307692307,0.6474358974358975,0.6178343949044586,1.1846683025360107,0.0
balance-scale,rb,3,0,56,0.7029914529914529,,0.6178343949044586,4.003510475158691,0.0
balance-scale,cp,3,0,56,0.7029914529914529,,0.6178343949044586,10.062394380569458,0.0
balance-scale,n,3,0.01,56,0.7307692307692307,0.6474358974358975,0.6178343949044586,2.136122465133667,0.0
balance-scale,rb,3,0.01,56,0.7029914529914529,,0.6178343949044586,5.425385236740112,0.0
balance-scale,cp,3,0.01,56,0.7029914529914529,,0.6178343949044586,21.63263201713562,0.0
balance-scale,n,3,0.1,56,0.7211538461538461,0.6666666666666666,0.6178343949044586,1.611816644668579,0.0
balance-scale,rb,3,0.1,56,0.7029914529914529,,0.6178343949044586,3.510948419570923,0.0
balance-scale,cp,3,0.1,56,0.7029914529914529,,0.6178343949044586,6.7237584590911865,0.0
balance-scale,n,3,0,67,0.7467948717948718,0.6025641025641025,0.6305732484076433,1.2109994888305664,0.0
balance-scale,rb,3,0,67,0.6987179487179487,,0.6305732484076433,5.508732080459595,0.0
balance-scale,cp,3,0,67,0.6987179487179487,,0.6305732484076433,9.217350959777832,0.0
balance-scale,n,3,0.01,67,0.7435897435897436,0.6025641025641025,0.6369426751592356,2.41359281539917,0.0
balance-scale,rb,3,0.01,67,0.6965811965811965,,0.6369426751592356,4.447103261947632,0.0
balance-scale,cp,3,0.01,67,0.6965811965811965,,0.6369426751592356,13.090321779251099,0.0
balance-scale,n,3,0.1,67,0.7435897435897436,0.6025641025641025,0.6369426751592356,1.279026985168457,0.0
balance-scale,rb,3,0.1,67,0.6965811965811965,,0.6369426751592356,3.0936708450317383,0.0
balance-scale,cp,3,0.1,67,0.6965811965811965,,0.6369426751592356,12.633053541183472,0.0
balance-scale,n,3,0,78,0.6955128205128205,0.6730769230769231,0.6624203821656051,1.933427095413208,0.0
balance-scale,rb,3,0,78,0.688034188034188,,0.6624203821656051,6.202794313430786,0.0
balance-scale,cp,3,0,78,0.688034188034188,,0.6624203821656051,14.476481914520264,0.0
balance-scale,n,3,0.01,78,0.6955128205128205,0.6730769230769231,0.6624203821656051,2.698867082595825,0.0
