instance,depth,seed,train_acc,val_acc,test_acc,train_time,gap
hayes-roth,5,53,0.675,0.575,0.55,1201.6097180843353,1.0
house-votes-84,2,37,0.9741379310344828,0.9482758620689655,0.9827586206896551,0.796579122543335,0.0
house-votes-84,2,42,0.9655172413793104,0.9655172413793104,0.9482758620689655,0.7205848693847656,0.0
house-votes-84,2,53,0.9741379310344828,0.9655172413793104,0.9655172413793104,0.714623212814331,0.0
house-votes-84,3,37,0.9913793103448276,0.9310344827586207,0.9827586206896551,206.0470631122589,0.0
house-votes-84,3,42,0.9827586206896551,0.896551724137931,0.9655172413793104,727.7878918647766,0.0
house-votes-84,3,53,0.9913793103448276,0.9655172413793104,0.9655172413793104,426.9277603626251,0.0
house-votes-84,4,37,1.0,0.896551724137931,0.9310344827586207,7.982578992843628,0.0
house-votes-84,4,42,0.9913793103448276,0.9137931034482759,0.9310344827586207,1200.702674627304,1.0
house-votes-84,4,53,1.0,0.8620689655172413,0.8793103448275862,2.3118181228637695,0.0
house-votes-84,5,37,1.0,0.9137931034482759,0.9655172413793104,3.7609503269195557,0.0
house-votes-84,5,42,1.0,0.896551724137931,0.9482758620689655,4.737844467163086,0.0
house-votes-84,5,53,1.0,0.896551724137931,0.9655172413793104,4.973699569702148,0.0
soybean-small,2,37,1.0,0.6666666666666666,0.9166666666666666,0.09275197982788086,0.0
soybean-small,2,42,1.0,1.0,1.0,0.4248645305633545,0.0
soybean-small,2,53,1.0,1.0,1.0,0.4577763080596924,0.0
soybean-small,3,37,1.0,0.3333333333333333,0.8333333333333334,0.22240543365478516,0.0
soybean-small,3,42,1.0,1.0,1.0,0.18949317932128906,0.0
soybean-small,3,53,0.391304347826087,0.5,0.4166666666666667,0.17752432823181152,0.0
soybean-small,4,37,0.782608695652174,1.0,0.5833333333333334,0.45378828048706055,0.0
soybean-small,4,42,1.0,1.0,1.0,0.47074341773986816,0.0
soybean-small,4,53,0.9565217391304348,0.8333333333333334,0.9166666666666666,0.4398233890533447,0.0
soybean-small,5,37,1.0,1.0,0.9166666666666666,1.133969783782959,0.0
soybean-small,5,42,0.6086956521739131,0.5833333333333334,0.75,1.1698739528656006,0.0
soybean-small,5,53,0.6956521739130435,0.5833333333333334,0.5,1.1499519348144531,0.0
spect,2,37,0.7894736842105263,0.7611940298507462,0.835820895522388,10.050130605697632,0.0
spect,2,42,0.8571428571428571,0.7014925373134329,0.7014925373134329,1.0142879486083984,0.0
spect,2,53,0.8120300751879699,0.746268656716418,0.8059701492537313,7.728850364685059,0.0
spect,3,37,0.8195488721804511,0.7761194029850746,0.8208955223880597,681.1462171077728,4.1254125584394557e-08
spect,3,42,0.9022556390977443,0.7014925373134329,0.7014925373134329,76.13746500015259,0.0
spect,3,53,0.8270676691729323,0.746268656716418,0.746268656716418,1200.7778549194336,0.17391307320834046
spect,4,37,0.8872180451127819,0.7014925373134329,0.7910447761194029,1201.8891637325287,0.3999926062651573
spect,4,42,0.9398496240601504,0.7014925373134329,0.6716417910447762,1201.2569341659546,0.6249998557756127
spect,4,53,0.8796992481203008,0.7761194029850746,0.7761194029850746,1200.939608335495,0.3749999571699871
spect,5,37,0.924812030075188,0.6865671641791045,0.7014925373134329,1202.9508533477783,0.2999995917533409
spect,5,42,0.9398496240601504,0.7313432835820896,0.6865671641791045,1204.665539264679,0.7499999705880918
spect,5,53,0.9172932330827067,0.7164179104477612,0.7761194029850746,1203.2616856098175,0.36363636294793356
tic-tac-toe,2,37,0.7202505219206681,0.694560669456067,0.675,126.21291851997375,0.0
tic-tac-toe,2,42,0.7077244258872651,0.6736401673640168,0.7125,99.85691738128662,0.0
tic-tac-toe,2,53,0.7077244258872651,0.7071129707112971,0.6791666666666667,135.1524350643158,0.0
tic-tac-toe,3,37,0.7536534446764092,0.7447698744769874,0.7083333333333334,1201.9514586925507,1.0
tic-tac-toe,3,42,0.7766179540709812,0.7238493723849372,0.7708333333333334,1201.8222696781158,1.0
tic-tac-toe,3,53,0.7745302713987474,0.7322175732217573,0.7708333333333334,1201.6999847888947,0.9999999999999999
tic-tac-toe,4,37,0.8162839248434238,0.7907949790794979,0.8041666666666667,1203.262772321701,1.0
tic-tac-toe,4,42,0.824634655532359,0.7866108786610879,0.7916666666666666,1203.0945386886597,1.0
tic-tac-toe,4,53,0.7995824634655533,0.7489539748953975,0.7625,1203.3237614631653,1.0
tic-tac-toe,5,37,0.8810020876826722,0.8200836820083682,0.8416666666666667,1210.6531698703766,0.9999999999999991
tic-tac-toe,5,42,0.8768267223382046,0.8117154811715481,0.8125,1210.1827635765076,0.9999999999999999
tic-tac-toe,5,53,0.8580375782881002,0.7824267782426778,0.7833333333333333,1210.1819670200348,1.0
monks-1,2,37,0.8093525179856115,0.7050359712230215,0.7841726618705036,13.814148426055908,0.0
monks-1,2,42,0.7913669064748201,0.7482014388489209,0.762589928057554,3.615893602371216,0.0
monks-1,2,53,0.8093525179856115,0.7841726618705036,0.7050359712230215,3.0934271812438965,0.0
monks-1,3,37,0.9172661870503597,0.8776978417266187,0.8705035971223022,104.25982689857483,0.0
monks-1,3,42,0.9064748201438849,0.8489208633093526,0.8633093525179856,247.9573073387146,0.0
monks-1,3,53,0.920863309352518,0.8705035971223022,0.841726618705036,149.2303466796875,0.0
monks-1,4,37,1.0,1.0,1.0,3.800654172897339,0.0
monks-1,4,42,1.0,1.0,1.0,11.262216567993164,0.0
monks-1,4,53,1.0,1.0,1.0,8.850003480911255,0.0
monks-1,5,37,1.0,1.0,1.0,7.287518739700317,0.0
monks-1,5,42,1.0,1.0,1.0,8.98398208618164,0.0
monks-1,5,53,1.0,1.0,1.0,6.359995603561401,0.0
monks-2,2,37,0.63,0.6,0.5960264900662252,18.357926845550537,0.0
monks-2,2,42,0.6433333333333333,0.64,0.6291390728476821,21.05271601676941,0.0
monks-2,2,53,0.66,0.6,0.5960264900662252,20.68569779396057,0.0
monks-2,3,37,0.6866666666666666,0.6,0.5629139072847682,1202.5145230293274,0.9574467764096007
monks-2,3,42,0.6933333333333334,0.64,0.5562913907284768,1201.7115063667297,0.9999999999999996
monks-2,3,53,0.6933333333333334,0.6266666666666667,0.6357615894039735,1202.976598739624,0.858695652173913
monks-2,4,37,0.7233333333333334,0.6066666666666667,0.5960264900662252,1202.0436625480652,1.0
monks-2,4,42,0.74,0.6,0.5496688741721855,1201.9409601688385,0.9999999999999996
monks-2,4,53,0.7566666666666667,0.5866666666666667,0.5960264900662252,1202.6809391975403,1.0
monks-2,5,37,0.7733333333333333,0.6266666666666667,0.5761589403973509,1204.547600030899,1.0
monks-2,5,42,0.81,0.6266666666666667,0.609271523178808,1204.833270072937,0.9999999999999989
monks-2,5,53,0.8033333333333333,0.66,0.6357615894039735,1204.4382603168488,1.0
monks-3,2,37,0.9711191335740073,0.9492753623188406,0.9640287769784173,1.0053126811981201,0.0
monks-3,2,42,0.9711191335740073,0.9492753623188406,0.9640287769784173,0.9694066047668457,0.0
monks-3,2,53,0.9675090252707581,0.9492753623188406,0.9712230215827338,1.266613483428955,0.0
monks-3,3,37,0.9963898916967509,0.9637681159420289,1.0,95.83753561973572,0.0
monks-3,3,42,0.9963898916967509,0.9855072463768116,0.9784172661870504,35.87109994888306,0.0
monks-3,3,53,0.9927797833935018,0.9782608695652174,0.9928057553956835,288.6725392341614,0.0
monks-3,4,37,0.9963898916967509,0.9637681159420289,1.0,1201.1374018192291,1.0
monks-3,4,42,0.9963898916967509,0.9855072463768116,0.9784172661870504,1201.2396914958954,1.0
monks-3,4,53,0.9927797833935018,0.9637681159420289,0.9856115107913669,1201.8195173740387,0.9999999999999846
monks-3,5,37,0.9963898916967509,0.9637681159420289,1.0,1203.4502074718475,1.0
monks-3,5,42,0.9963898916967509,0.9855072463768116,0.9784172661870504,1203.3447997570038,1.0
monks-3,5,53,0.9963898916967509,0.9565217391304348,0.9712230215827338,1203.450241804123,1.0
