instance,method,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
balance-scale,n,3,0,11,0.6987179487179487,0.6089743589743589,0.7197452229299363,3.305035352706909,0.0
balance-scale,rb,3,0,11,0.6858974358974359,,0.6687898089171974,7.521568298339844,0.0
balance-scale,cp,3,0,11,0.6858974358974359,,0.6687898089171974,20.631171226501465,0.0
balance-scale,n,3,0.01,11,0.6987179487179487,0.6089743589743589,0.7197452229299363,3.4439103603363037,0.0
balance-scale,rb,3,0.01,11,0.6816239316239316,,0.6815286624203821,7.287820100784302,0.0
balance-scale,cp,3,0.01,11,0.6816239316239316,,0.6815286624203821,18.253708839416504,0.0
balance-scale,n,3,0.1,11,0.6923076923076923,0.6602564102564102,0.6815286624203821,1.840378999710083,0.0
balance-scale,rb,3,0.1,11,0.6816239316239316,,0.6815286624203821,4.0411412715911865,0.0
balance-scale,cp,3,0.1,11,0.6816239316239316,,0.6815286624203821,14.449023485183716,0.0
balance-scale,n,3,0,23,0.6698717948717948,0.6666666666666666,0.7197452229299363,3.5532078742980957,0.0
balance-scale,rb,3,0,23,0.6688034188034188,,0.7197452229299363,7.7737202644348145,0.0
balance-scale,cp,3,0,23,0.6688034188034188,,0.7197452229299363,44.22812843322754,0.0
balance-scale,n,3,0.01,23,0.6698717948717948,0.6666666666666666,0.7197452229299363,7.510036468505859,0.0
balance-scale,rb,3,0.01,23,0.6688034188034188,,0.7197452229299363,9.123286962509155,0.0
balance-scale,cp,3,0.01,23,0.6688034188034188,,0.7197452229299363,18.148287057876587,0.0
balance-scale,n,3,0.1,23,0.6602564102564102,0.6858974358974359,0.7197452229299363,2.295790672302246,0.0
balance-scale,rb,3,0.1,23,0.6688034188034188,,0.7197452229299363,4.8883936405181885,0.0
balance-scale,cp,3,0.1,23,0.6688034188034188,,0.7197452229299363,13.813892602920532,0.0
balance-scale,n,3,0,34,0.7019230769230769,0.6666666666666666,0.6560509554140127,2.7875373363494873,0.0
balance-scale,rb,3,0,34,0.6923076923076923,,0.6496815286624203,7.073465585708618,0.0
balance-scale,cp,3,0,34,0.6923076923076923,,0.6496815286624203,23.609196186065674,0.0
balance-scale,n,3,0.01,34,0.7019230769230769,0.6666666666666666,0.6560509554140127,3.8163092136383057,0.0
balance-scale,rb,3,0.01,34,0.6901709401709402,,0.6560509554140127,5.544579982757568,0.0
balance-scale,cp,3,0.01,34,0.6901709401709402,,0.6560509554140127,17.89586067199707,0.0
balance-scale,n,3,0.1,34,0.7019230769230769,0.6666666666666666,0.6560509554140127,1.9111478328704834,0.0
balance-scale,rb,3,0.1,34,0.6901709401709402,,0.6560509554140127,4.647159814834595,0.0
balance-scale,cp,3,0.1,34,0.6901709401709402,,0.6560509554140127,7.448259115219116,0.0
balance-scale,n,3,0,45,0.6826923076923077,0.5961538461538461,0.6751592356687898,2.2300336360931396,0.0
