instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
breast-cancer,5,0.01,37,0.84057971,0.782608696,0.757142857,603.9571815,0.933823529
breast-cancer,5,0.1,37,0.717391304,0.710144928,0.685714286,602.9425862,0.105128205
breast-cancer,5,0.0,42,0.920289855,0.608695652,0.657142857,603.2500281,1.0
breast-cancer,5,0.01,42,0.826086957,0.753623188,0.742857143,603.1344862,0.930635838
breast-cancer,5,0.1,42,0.695652174,0.68115942,0.757142857,602.930547,0.314285714
breast-cancer,5,0.0,53,0.898550725,0.753623188,0.671428571,603.0408247,1.0
breast-cancer,5,0.01,53,0.81884058,0.768115942,0.685714286,603.3570704,0.927298646
breast-cancer,5,0.1,53,0.739130435,0.753623188,0.6,602.6819901,0.066666667
car-evaluation,2,0.0,37,0.795138889,0.766203704,0.75462963,601.1744375,1.0
car-evaluation,2,0.01,37,0.795138889,0.766203704,0.75462963,601.2101774,0.68967066
car-evaluation,2,0.1,37,0.685185185,0.743055556,0.6875,522.1606681,0.0
car-evaluation,2,0.0,42,0.751157407,0.800925926,0.773148148,601.0657148,1.0
car-evaluation,2,0.01,42,0.751157407,0.800925926,0.773148148,601.3199954,0.872779499
car-evaluation,2,0.1,42,0.6875,0.712962963,0.712962963,601.2071042,0.34
car-evaluation,2,0.0,53,0.78125,0.74537037,0.768518519,601.2304444,0.978835979
car-evaluation,2,0.01,53,0.78125,0.74537037,0.768518519,601.0080585,0.863649188
car-evaluation,2,0.1,53,0.710648148,0.696759259,0.68287037,601.2835827,0.4072
car-evaluation,3,0.0,37,0.821759259,0.805555556,0.796296296,603.2646146,1.0
car-evaluation,3,0.01,37,0.685185185,0.743055556,0.6875,603.7044239,0.974766749
car-evaluation,3,0.1,37,0.685185185,0.743055556,0.6875,607.0143442,0.564705882
car-evaluation,3,0.0,42,0.799768519,0.805555556,0.81712963,602.9766643,0.994219653
car-evaluation,3,0.01,42,0.6875,0.712962963,0.712962963,602.7725644,0.969511528
car-evaluation,3,0.1,42,0.6875,0.712962963,0.712962963,602.5493398,0.731319026
car-evaluation,3,0.0,53,0.795138889,0.763888889,0.777777778,602.5385742,0.994350282
car-evaluation,3,0.01,53,0.710648148,0.696759259,0.68287037,602.830008,0.964980643
car-evaluation,3,0.1,53,0.710648148,0.696759259,0.68287037,603.8080842,0.5088
car-evaluation,4,0.0,37,0.778935185,0.800925926,0.773148148,608.6572354,1.0
car-evaluation,4,0.01,37,0.685185185,0.743055556,0.6875,607.659116,0.978235294
car-evaluation,4,0.1,37,0.685185185,0.743055556,0.6875,607.2200792,0.782352941
car-evaluation,4,0.0,42,0.729166667,0.761574074,0.724537037,607.7258496,1.0
car-evaluation,4,0.01,42,0.6875,0.712962963,0.712962963,607.691534,0.978
car-evaluation,4,0.1,42,0.6875,0.712962963,0.712962963,606.731184,0.770553293
car-evaluation,4,0.0,53,0.729166667,0.685185185,0.710648148,607.604465,1.0
car-evaluation,4,0.01,53,0.710648148,0.696759259,0.68287037,607.8830476,0.972944829
car-evaluation,4,0.1,53,0.710648148,0.696759259,0.68287037,608.3411617,0.7544
car-evaluation,5,0.0,37,0.703703704,0.75462963,0.689814815,617.8450222,1.0
car-evaluation,5,0.01,37,0.685185185,0.743055556,0.6875,619.4964104,0.978235294
car-evaluation,5,0.1,37,0.685185185,0.743055556,0.6875,618.6373224,0.782352941
car-evaluation,5,0.0,42,0.6875,0.712962963,0.712962963,619.8916175,1.0
car-evaluation,5,0.01,42,0.6875,0.712962963,0.712962963,618.995142,0.978
car-evaluation,5,0.1,42,0.6875,0.712962963,0.712962963,617.5364234,0.78
car-evaluation,5,0.0,53,0.710648148,0.696759259,0.68287037,616.5335572,1.0
car-evaluation,5,0.01,53,0.710648148,0.696759259,0.68287037,615.9412801,0.97544
car-evaluation,5,0.1,53,0.710648148,0.696759259,0.68287037,616.1294317,0.7544
hayes-roth,2,0.0,37,0.65,0.475,0.65,31.92626405,0.0
hayes-roth,2,0.01,37,0.65,0.475,0.65,11.79148102,0.0
hayes-roth,2,0.1,37,0.625,0.4,0.55,37.53671956,0.0
hayes-roth,2,0.0,42,0.675,0.5,0.625,18.97427821,0.0
hayes-roth,2,0.01,42,0.675,0.475,0.55,17.942168,0.0
hayes-roth,2,0.1,42,0.6625,0.525,0.525,12.37791276,0.0
hayes-roth,2,0.0,53,0.675,0.625,0.55,26.39800143,0.0
hayes-roth,2,0.01,53,0.675,0.625,0.55,11.64287567,0.0
hayes-roth,2,0.1,53,0.65,0.575,0.55,19.89040351,0.0
hayes-roth,3,0.0,37,0.7375,0.5,0.7,600.4336772,1.0
hayes-roth,3,0.01,37,0.7125,0.525,0.7,600.4801967,0.958128079
hayes-roth,3,0.1,37,0.6875,0.575,0.725,600.3977118,0.710227273
hayes-roth,3,0.0,42,0.825,0.5,0.8,600.3596287,1.0
hayes-roth,3,0.01,42,0.8,0.5,0.675,600.3932509,0.94345898
hayes-roth,3,0.1,42,0.7125,0.6,0.6,600.347964,0.662650602
hayes-roth,3,0.0,53,0.8,0.675,0.725,600.3265138,1.0
hayes-roth,3,0.01,53,0.775,0.4,0.575,600.4439816,0.949950932
hayes-roth,3,0.1,53,0.7,0.675,0.6,600.4065106,0.701754386
hayes-roth,4,0.0,37,0.7875,0.525,0.775,600.8000336,1.0
hayes-roth,4,0.01,37,0.7875,0.65,0.775,600.7418966,0.95030426
hayes-roth,4,0.1,37,0.7375,0.5,0.7,601.1457372,0.705202312
hayes-roth,4,0.0,42,0.8875,0.625,0.825,600.8432007,1.0
hayes-roth,4,0.01,42,0.9,0.7,0.825,601.0083063,0.904850746
hayes-roth,4,0.1,42,0.7125,0.6,0.6,600.822392,0.692771084
hayes-roth,4,0.0,53,0.825,0.5,0.475,600.8186054,1.0
hayes-roth,4,0.01,53,0.925,0.7,0.65,600.9388182,0.907869482
hayes-roth,4,0.1,53,0.7375,0.725,0.625,600.9132674,0.705202312
hayes-roth,5,0.0,37,0.8,0.85,0.8,602.0642695,1.0
hayes-roth,5,0.01,37,0.8125,0.8,0.675,602.0143845,0.96234773
hayes-roth,5,0.1,37,0.7875,0.525,0.775,602.190269,0.8
hayes-roth,5,0.0,42,0.85,0.6,0.8,601.8960378,1.0
